rank,player,shots,actual_goals,xg_sum,sb_xg_sum,xg_per_shot,actual_conversion,goals_above_xg,goals_above_xg_se
394,Kyle Walker,20,1,0.9294738616596482,0.903361597,0.04647369308298241,0.05,0.07052613834035182,0.9414232728609503
395,Óscar Guido Trejo,44,4,3.931703445074296,3.2822978150999997,0.08935689647896126,0.09090909090909091,0.06829655492570419,1.8921888455824953
396,Adam David Lallana,43,4,3.935871899453032,3.946979409,0.09153190463844262,0.09302325581395349,0.06412810054696783,1.8909294138288641
397,Lucas Nahuel Castro,44,3,2.936860391238034,3.0976833395,0.06674682707359168,0.06818181818181818,0.06313960876196578,1.6555465196015449
398,Samuel Yves Umtiti,35,4,3.938029170445473,3.719043921,0.11251511915558494,0.11428571428571428,0.06197082955452693,1.869476223195853
399,Nerijus Valskis,32,4,3.947599474136149,4.10638844,0.12336248356675465,0.125,0.05240052586385113,1.8602725066182908
400,Jordan Murray,33,4,3.950599730004894,3.652396414,0.11971514333348163,0.12121212121212122,0.04940026999510616,1.8648466738780816
401,Oliver Kragl,31,1,0.9538019185272174,1.0204015947,0.030767803823458627,0.03225806451612903,0.04619808147278259,0.9614861040137468
402,Roy Krishna,35,5,4.958284529764859,4.7174220149999995,0.14166527227899595,0.14285714285714285,0.04171547023514144,2.0629754729077576
403,Kévin Bérigaud,22,3,2.9596967166434287,2.6689681927,0.13453166893833768,0.13636363636363635,0.040303283356571296,1.6004761097255
404,Luiz Adriano de Souza da Silva,25,3,2.9598236713569217,2.933387222,0.11839294685427687,0.12,0.040176328643078296,1.6153641771241343
405,Harry Arter,36,1,0.9603875264229448,1.0289659574,0.026677431289526245,0.027777777777777776,0.03961247357705522,0.966833415938588
406,Bertrand Isidore Traoré,25,2,1.969970771166194,1.7950222226,0.07879883084664777,0.08,0.030029228833805988,1.3471226290120097
407,Yann Gérard M''Vila,28,1,0.9757399638162331,0.948909119,0.03484785585057975,0.03571428571428571,0.02426003618376693,0.9704316143909961
408,Charlie Daniels,21,1,0.9826580084763978,1.367878228,0.04679323849887609,0.047619047619047616,0.017341991523602163,0.9678203644907102
409,Raúl Albentosa Redal,20,2,1.987126774419748,1.9377547960000001,0.0993563387209874,0.1,0.012873225580251946,1.3377941297295919
410,Connor Wickham,34,4,3.9876603052674215,3.967364303,0.1172841266255124,0.11764705882352941,0.012339694732578455,1.8761585884687115
411,Danilo Cataldi,29,1,0.9892216756954989,1.129189293,0.034111092265362034,0.034482758620689655,0.010778324304501097,0.9774856744960275
412,Matías Ariel Fernández Fernández,27,1,0.9922643407872547,0.965425713,0.03675053114026869,0.037037037037037035,0.007735659212745327,0.97764927209699
413,Matías Vecino Falero,53,2,1.9957332923789282,2.3105709938,0.03765534513922506,0.03773584905660377,0.004266707621071841,1.3858510982239607
414,Naorem Mahesh Singh,24,2,1.9993655713079486,1.7296121580000001,0.08330689880449786,0.08333333333333333,0.0006344286920514364,1.3538111485675541
415,Robert Brady,54,3,3.009886364905284,3.1116774991,0.05573863638713489,0.05555555555555555,-0.00988636490528405,1.6858586545868053
416,Oussama Tannane,24,2,2.0113520976611325,1.951845469,0.08380633740254718,0.08333333333333333,-0.011352097661132543,1.3574932946903358
417,Sadio Mané,97,14,14.020099577715849,13.471873572,0.144537109048617,0.14432989690721648,-0.020099577715848582,3.4631885475929645
418,Cyril Théréau,76,11,11.021775248456889,10.8017128935,0.14502335853232748,0.14473684210526316,-0.02177524845688872,3.069749238119816
419,Diego Sebastián Laxalt Suárez,35,3,3.0218984940616456,2.696986289,0.08633995697318987,0.08571428571428572,-0.021898494061645568,1.6616220713829652
420,Jordon Ibe,30,1,1.022069704275922,1.2689323965000001,0.03406899014253073,0.03333333333333333,-0.02206970427592192,0.993603956109257
421,Ariel Borysiuk,22,1,1.0229340622411376,0.5349720808,0.04649700282914262,0.045454545454545456,-0.022934062241137587,0.9876085734009629
422,Steven Fletcher,41,6,6.025131533636653,4.213825363,0.14695442764967448,0.14634146341463414,-0.025131533636653103,2.2670932441337905
423,Walid Mesloub,22,1,1.0271374116872365,0.944120124,0.046688064167601656,0.045454545454545456,-0.02713741168723649,0.9895364340444663
424,Eiður Smári Guðjohnsen,45,7,7.034707924130302,6.261097675,0.15632684275845116,0.15555555555555556,-0.034707924130302104,2.436184361788564
